,Item,Category,Description,Price,Size,Crust,calories
160,Cheese n Corn,Veg Pizza,Sweet & Juicy Golden corn and 100% real mozzarella cheese in a delectable combination !,359,Medium,100% Wheat Thin Crust,5
161,Cheese n Corn,Veg Pizza,Sweet & Juicy Golden corn and 100% real mozzarella cheese in a delectable combination !,408,Medium,Cheese Burst,10
162,Cheese n Corn,Veg Pizza,Sweet & Juicy Golden corn and 100% real mozzarella cheese in a delectable combination !,349,Medium,Fresh Pan Pizza,7
163,Cheese n Corn,Veg Pizza,Sweet & Juicy Golden corn and 100% real mozzarella cheese in a delectable combination !,169,Regular,New Hand Tossed,2
164,Cheese n Corn,Veg Pizza,Sweet & Juicy Golden corn and 100% real mozzarella cheese in a delectable combination !,199,Regular,100% Wheat Thin Crust,1
165,Cheese n Corn,Veg Pizza,Sweet & Juicy Golden corn and 100% real mozzarella cheese in a delectable combination !,244,Regular,Cheese Burst,6
166,Cheese n Corn,Veg Pizza,Sweet & Juicy Golden corn and 100% real mozzarella cheese in a delectable combination !,199,Regular,Fresh Pan Pizza,3
167,Fresh Veggie,Veg Pizza,"Delectable combination of onion & capsicum, a veggie lovers pick",539,Large,New Hand Tossed,9
168,Fresh Veggie,Veg Pizza,"Delectable combination of onion & capsicum, a veggie lovers pick",339,Medium,New Hand Tossed,6
169,Fresh Veggie,Veg Pizza,"Delectable combination of onion & capsicum, a veggie lovers pick",389,Medium,100% Wheat Thin Crust,5
170,Fresh Veggie,Veg Pizza,"Delectable combination of onion & capsicum, a veggie lovers pick",438,Medium,Cheese Burst,10
171,Fresh Veggie,Veg Pizza,"Delectable combination of onion & capsicum, a veggie lovers pick",379,Medium,Fresh Pan Pizza,7
172,Fresh Veggie,Veg Pizza,"Delectable combination of onion & capsicum, a veggie lovers pick",189,Regular,New Hand Tossed,2
173,Fresh Veggie,Veg Pizza,"Delectable combination of onion & capsicum, a veggie lovers pick",219,Regular,100% Wheat Thin Crust,1
174,Fresh Veggie,Veg Pizza,"Delectable combination of onion & capsicum, a veggie lovers pick",264,Regular,Cheese Burst,6
175,Fresh Veggie,Veg Pizza,"Delectable combination of onion & capsicum, a veggie lovers pick",219,Regular,Fresh Pan Pizza,3
176,Paneer Makhani,Veg Pizza,Flavorful twist of spicy makhani sauce topped with paneer & capsicum,699,Large,New Hand Tossed,9
177,Paneer Makhani,Veg Pizza,Flavorful twist of spicy makhani sauce topped with paneer & capsicum,459,Medium,New Hand Tossed,6
178,Paneer Makhani,Veg Pizza,Flavorful twist of spicy makhani sauce topped with paneer & capsicum,509,Medium,100% Wheat Thin Crust,5
179,Paneer Makhani,Veg Pizza,Flavorful twist of spicy makhani sauce topped with paneer & capsicum,558,Medium,Cheese Burst,10
180,Paneer Makhani,Veg Pizza,Flavorful twist of spicy makhani sauce topped with paneer & capsicum,499,Medium,Fresh Pan Pizza,7
181,Paneer Makhani,Veg Pizza,Flavorful twist of spicy makhani sauce topped with paneer & capsicum,249,Regular,New Hand Tossed,2
182,Paneer Makhani,Veg Pizza,Flavorful twist of spicy makhani sauce topped with paneer & capsicum,279,Regular,100% Wheat Thin Crust,1
183,Paneer Makhani,Veg Pizza,Flavorful twist of spicy makhani sauce topped with paneer & capsicum,324,Regular,Cheese Burst,6
184,Paneer Makhani,Veg Pizza,Flavorful twist of spicy makhani sauce topped with paneer & capsicum,279,Regular,Fresh Pan Pizza,3
185,Indi Tandoori Paneer,Veg Pizza,"It is hot. It is spicy. It is oh-so-Indian. Tandoori paneer with capsicum, red paprika & mint mayo",699,Large,New Hand Tossed,9
186,Indi Tandoori Paneer,Veg Pizza,"It is hot. It is spicy. It is oh-so-Indian. Tandoori paneer with capsicum, red paprika & mint mayo",459,Medium,New Hand Tossed,6
187,Indi Tandoori Paneer,Veg Pizza,"It is hot. It is spicy. It is oh-so-Indian. Tandoori paneer with capsicum, red paprika & mint mayo",509,Medium,100% Wheat Thin Crust,5
188,Indi Tandoori Paneer,Veg Pizza,"It is hot. It is spicy. It is oh-so-Indian. Tandoori paneer with capsicum, red paprika & mint mayo",558,Medium,Cheese Burst,10
189,Indi Tandoori Paneer,Veg Pizza,"It is hot. It is spicy. It is oh-so-Indian. Tandoori paneer with capsicum, red paprika & mint mayo",499,Medium,Fresh Pan Pizza,7
